"filename", "language", "HTML", "JSON", "C++", "CMake", "JavaScript", "CSS", "YAML", "Dart", "Gradle", "Java Properties", "XML", "Markdown", "Swift", "comment", "blank", "total"
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/pages/home_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 4, 170
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/pages/portfolio_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 4, 42
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/pages/privacy_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 4, 72
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/pages/services_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 4, 42
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/pages/terms_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 4, 161
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/routes.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 3, 76
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/services/url_launcher_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 10, 65
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/widgets/app_drawer_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 4, 87
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/widgets/appbar_menu_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/widgets/contact_button_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/widgets/custom_appbar_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 4, 111
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/widgets/display_box_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/widgets/drawer_tile_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/widgets/horizontal_app_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/lib/widgets/vertical_app_widget.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 4, 26
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/linux/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/linux/main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/linux/my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/linux/my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 4, 13
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 2, 10
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 4, 16
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/package-lock.json", "JSON", 0, 960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 961
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/package.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 57, 15, 97
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/test/widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/web/index.html", "HTML", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 64
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/web/manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/web/splash/splash.js", "JavaScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/web/splash/style.css", "CSS", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 9, 57
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/windows/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/windows/runner/flutter_window.cpp", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/windows/runner/flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/windows/runner/main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/windows/runner/resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/windows/runner/utils.cpp", "C++", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/windows/runner/utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/windows/runner/win32_window.cpp", "C++", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"/Users/samharvey/AndroidStudioProjects/oxygen_tech/windows/runner/win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 41, 1250, 506, 38, 5, 48, 28, 1497, 89, 8, 487, 13, 38, 258, 395, 4701
